Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units
NSRDB,123456,-,-,-,0,0.11,-5,19,-5,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Cloud Type,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2015,1,4,3,30,0,0,0,7,2,132.78,0.070100002,1,3.248,50.8,100,3,1010
2015,1,4,4,0,0,0,0,0,2,127.11,0.070100002,1,3.223,43.9,100,3,1010
2015,1,4,4,30,0,0,0,7,2,121.44,0.070100002,1.1,3.232,43.9,100,3,1010
2015,1,4,5,0,0,0,0,7,2,115.79,0.070100002,1.2,3.243,40.3,100,3,1010
2015,1,4,5,30,0,0,0,7,2,110.22,0.070100002,1.2,3.303,40.3,100,3,1010
2015,1,4,6,0,0,0,0,7,2,104.74,0.070100002,1.4,3.363,36.8,100,3,1010
2015,1,4,6,30,0,0,0,7,2,99.39,0.070100002,1.4,3.449,36.8,100,3,1010
2015,1,4,7,0,0,0,0,7,2,94.22,0.070100002,1.4,3.536,33.9,100,3,1010
2015,1,4,7,30,0,0,0,7,2,89.25,0.070100002,1.3,3.597,33.9,100,3,1010
2015,1,4,8,0,13,0,13,7,2,84.54,0.070100002,1.3,3.659,34,100,3,1010
2015,1,4,8,30,28,0,28,6,2,80.14,0.070100002,1.2,3.679,34,100,3,1010
2015,1,4,9,0,47,0,47,6,4,76.1,0.070100002,1.2,3.699,29.8,100,4,1000
2015,1,4,9,30,61,0,61,7,4,72.5,0.070100002,1.4,3.599,29.8,100,4,1000
2015,1,4,10,0,50,0,50,7,4,69.4,0.070100002,1.6,3.5,29.2,100,5,1000
2015,1,4,10,30,13,0,13,7,4,66.89,0.070100002,1.8,3.288,29.2,100,5,1000
2015,1,4,11,0,89,0,89,8,6,65.03,0.070100002,2.1,3.078,39.7,100,6,1000
2015,1,4,11,30,127,0,127,8,6,63.87,0.070100002,2.4,2.903,39.7,100,6,1000
2015,1,4,12,0,128,0,128,7,7,63.47,0.070100002,2.7,2.729,47.6,100,7,1000
2015,1,4,12,30,145,0,145,7,7,63.82,0.070100002,2.6,2.729,47.6,100,7,1000
2015,1,4,13,0,82,0,82,7,8,64.93,0.070100002,2.6,2.73,49.4,100,8,1000
2015,1,4,13,30,91,0,91,6,8,66.75,0.070100002,2.5,2.797,49.4,100,8,1000
2015,1,4,14,0,81,0,81,6,8,69.23,0.070100002,2.4,2.865,47.8,100,8,1000
